warning_detector,drift_detector,warning_signal,drift_signal,model_type,files,mean_accuracy,mean_detected_drifts,mean_time_s,total_time_s
seqdrift2,seed,uq_entropy,uq_entropy,hf,10,0.89860101010101,0.0,5.952066420700066,59.520664207000664
seqdrift2,adwin,uq_entropy,uq_entropy,hf,10,0.8985454545454544,0.0,2.9149908126995796,29.149908126995797
seqdrift2,adwin,uq_vote,uq_vote,hf,10,0.8966111111111111,0.1,3.576670470800309,35.76670470800309
seqdrift2,seed,uq_vote,uq_mi,hf,10,0.8947020202020202,0.0,5.9110875958002,59.110875958002
seqdrift2,seed,uq_vote,uq_vote,hf,10,0.8947020202020202,0.0,6.071786387500106,60.71786387500106
seqdrift2,seed,uq_vote,uq_entropy,hf,10,0.8947020202020202,0.0,6.111986549999893,61.11986549999892
seqdrift2,adwin,uq_mi,uq_vote,hf,10,0.8939242424242424,0.1,3.1990282208997085,31.990282208997087
seqdrift2,seed,uq_mi,uq_mi,hf,10,0.8931363636363635,0.0,6.256621212700156,62.56621212700156
seqdrift2,seed,uq_mi,uq_vote,hf,10,0.8931363636363635,0.0,6.0596992458999015,60.59699245899901
seqdrift2,seed,uq_mi,uq_entropy,hf,10,0.8931363636363635,0.0,5.824076299900298,58.24076299900298
